county,year,per_capita_income,unemployment_rate,population,tax_revenue_per_capita,log_income
新北市,1990,236511.0,2.0999999999999996,3230472.0,13000.0,12.3737
新北市,1991,240743.6,2.2399999999999993,3264214.4,13200.0,12.3915
新北市,1992,244976.2,2.38,3297956.8,13400.0,12.4089
新北市,1993,249208.8,2.5199999999999996,3331699.2,13600.0,12.426
新北市,1994,253441.4,2.6599999999999997,3365441.6,13800.0,12.4429
新北市,1995,257674.0,2.8,3399184.0,14000.0,12.4595
新北市,1996,261906.6,2.94,3432926.4,14200.0,12.4757
新北市,1997,266139.2,3.08,3466668.8,14400.0,12.4918
新北市,1998,270371.8,3.2199999999999998,3500411.2,14600.0,12.5076
新北市,1999,274604.4,3.36,3534153.6,14800.0,12.5231
新北市,2000,278837.0,3.5,3567896.0,15000.0,12.5384
新北市,2001,283069.6,3.64,3601638.4,15200.0,12.5534
新北市,2002,287302.2,3.7800000000000002,3635380.8,15400.0,12.5683
新北市,2003,291534.8,3.92,3669123.2,15600.0,12.5829
新北市,2004,295767.4,4.0600000000000005,3702865.6,15800.0,12.5973
新北市,2005,300000.0,4.2,3736608.0,16000.0,12.6115
新北市,2006,298800.0,4.4,3768759.8,16100.0,12.6075
新北市,2007,297600.0,4.6000000000000005,3800911.6,16200.0,12.6035
新北市,2008,296400.0,4.8,3833063.4,16300.0,12.5995
新北市,2009,295200.0,5.0,3865215.2,16400.0,12.5954
新北市,2010,294000.0,5.2,3897367.0,16500.0,12.5913
新北市,2011,278837.0,4.94,3912022.4,16700.0,12.5384
新北市,2012,285377.75,4.68,3926677.8,16900.0,12.5616
新北市,2013,291918.5,4.42,3941333.2,17100.0,12.5842
新北市,2014,298459.25,4.16,3955988.6,17300.0,12.6064
新北市,2015,305000.0,3.9,3970644.0,17500.0,12.6281
新北市,2016,308000.0,3.9,3982706.0,17700.0,12.6379
新北市,2017,311000.0,3.9,3994768.0,17900.0,12.6475
新北市,2018,314000.0,3.9,4006830.0,18100.0,12.6571
新北市,2019,317000.0,3.9,4018892.0,18300.0,12.6667
新北市,2020,320000.0,3.9,4030954.0,18500.0,12.6761
新北市,2021,323000.0,3.9,4043016.0,18700.0,12.6854
新北市,2022,326000.0,3.9,4055078.0,18900.0,12.6947
新北市,2023,329000.0,3.9,4067140.0,19100.0,12.7038
新北市,2024,332000.0,3.9,4079202.0,19300.0,12.7129
臺北市,1990,345540.0,1.0,2706672.0,29000.0,12.7529
臺北市,1991,349104.0,1.2,2700652.2,29600.0,12.7631
臺北市,1992,352668.0,1.4,2694632.4,30200.0,12.7733
臺北市,1993,356232.0,1.5999999999999999,2688612.6,30800.0,12.7833
臺北市,1994,359796.0,1.7999999999999998,2682592.8,31400.0,12.7933
