county,year,local_party,central_party,aligned,party_alternation,consecutive_years,dpp_dummy,kmt_dummy
南投縣,1990,KMT,KMT,1,0,1,0,1
南投縣,1991,KMT,KMT,1,0,2,0,1
南投縣,1992,KMT,KMT,1,0,3,0,1
南投縣,1993,KMT,KMT,1,0,4,0,1
南投縣,1994,KMT,KMT,1,0,5,0,1
南投縣,1995,KMT,KMT,1,0,6,0,1
南投縣,1996,KMT,KMT,1,0,7,0,1
南投縣,1997,DPP,KMT,0,1,1,1,0
南投縣,1998,DPP,KMT,0,1,2,1,0
南投縣,1999,DPP,KMT,0,1,3,1,0
南投縣,2000,DPP,DPP,1,1,4,1,0
南投縣,2001,DPP,DPP,1,0,5,1,0
南投縣,2002,DPP,DPP,1,0,6,1,0
南投縣,2003,DPP,DPP,1,0,7,1,0
南投縣,2004,DPP,DPP,1,0,8,1,0
南投縣,2005,KMT,DPP,0,1,1,0,1
南投縣,2006,KMT,DPP,0,1,2,0,1
南投縣,2007,KMT,DPP,0,1,3,0,1
南投縣,2008,KMT,KMT,1,1,4,0,1
南投縣,2009,KMT,KMT,1,0,5,0,1
南投縣,2010,KMT,KMT,1,0,6,0,1
南投縣,2011,KMT,KMT,1,0,7,0,1
南投縣,2012,KMT,KMT,1,0,8,0,1
南投縣,2013,KMT,KMT,1,0,9,0,1
南投縣,2014,KMT,KMT,1,0,10,0,1
南投縣,2015,KMT,KMT,1,0,11,0,1
南投縣,2016,KMT,DPP,0,0,12,0,1
南投縣,2017,KMT,DPP,0,0,13,0,1
南投縣,2018,KMT,DPP,0,0,14,0,1
南投縣,2019,KMT,DPP,0,0,15,0,1
南投縣,2020,KMT,DPP,0,0,16,0,1
南投縣,2021,KMT,DPP,0,0,17,0,1
南投縣,2022,KMT,DPP,0,0,18,0,1
南投縣,2023,KMT,DPP,0,0,19,0,1
南投縣,2024,KMT,DPP,0,0,20,0,1
嘉義市,1990,IND,KMT,0,0,1,0,0
嘉義市,1991,IND,KMT,0,0,2,0,0
嘉義市,1992,IND,KMT,0,0,3,0,0
嘉義市,1993,IND,KMT,0,0,4,0,0
嘉義市,1994,IND,KMT,0,0,5,0,0
嘉義市,1995,IND,KMT,0,0,6,0,0
嘉義市,1996,IND,KMT,0,0,7,0,0
嘉義市,1997,IND,KMT,0,0,8,0,0
嘉義市,1998,IND,KMT,0,0,9,0,0
嘉義市,1999,IND,KMT,0,0,10,0,0
嘉義市,2000,IND,DPP,0,0,11,0,0
嘉義市,2001,IND,DPP,0,0,12,0,0
嘉義市,2002,IND,DPP,0,0,13,0,0
嘉義市,2003,IND,DPP,0,0,14,0,0
嘉義市,2004,IND,DPP,0,0,15,0,0
嘉義市,2005,KMT,DPP,0,1,1,0,1
嘉義市,2006,KMT,DPP,0,1,2,0,1
嘉義市,2007,KMT,DPP,0,1,3,0,1
嘉義市,2008,KMT,KMT,1,1,4,0,1
嘉義市,2009,KMT,KMT,1,0,5,0,1
嘉義市,2010,KMT,KMT,1,0,6,0,1
嘉義市,2011,KMT,KMT,1,0,7,0,1
嘉義市,2012,KMT,KMT,1,0,8,0,1
嘉義市,2013,KMT,KMT,1,0,9,0,1
嘉義市,2014,DPP,KMT,0,1,1,1,0
嘉義市,2015,DPP,KMT,0,1,2,1,0
嘉義市,2016,DPP,DPP,1,1,3,1,0
嘉義市,2017,DPP,DPP,1,1,4,1,0
嘉義市,2018,KMT,DPP,0,1,1,0,1
嘉義市,2019,KMT,DPP,0,1,2,0,1
嘉義市,2020,KMT,DPP,0,1,3,0,1
嘉義市,2021,KMT,DPP,0,1,4,0,1
嘉義市,2022,KMT,DPP,0,0,5,0,1
嘉義市,2023,KMT,DPP,0,0,6,0,1
嘉義市,2024,KMT,DPP,0,0,7,0,1
嘉義縣,1990,KMT,KMT,1,0,1,0,1
嘉義縣,1991,KMT,KMT,1,0,2,0,1
嘉義縣,1992,KMT,KMT,1,0,3,0,1
嘉義縣,1993,KMT,KMT,1,0,4,0,1
嘉義縣,1994,KMT,KMT,1,0,5,0,1
嘉義縣,1995,KMT,KMT,1,0,6,0,1
嘉義縣,1996,KMT,KMT,1,0,7,0,1
嘉義縣,1997,KMT,KMT,1,0,8,0,1
嘉義縣,1998,KMT,KMT,1,0,9,0,1
嘉義縣,1999,KMT,KMT,1,0,10,0,1
嘉義縣,2000,KMT,DPP,0,0,11,0,1
嘉義縣,2001,DPP,DPP,1,1,1,1,0
嘉義縣,2002,DPP,DPP,1,1,2,1,0
嘉義縣,2003,DPP,DPP,1,1,3,1,0
嘉義縣,2004,DPP,DPP,1,1,4,1,0
嘉義縣,2005,DPP,DPP,1,0,5,1,0
嘉義縣,2006,DPP,DPP,1,0,6,1,0
嘉義縣,2007,DPP,DPP,1,0,7,1,0
嘉義縣,2008,DPP,KMT,0,0,8,1,0
嘉義縣,2009,DPP,KMT,0,0,9,1,0
嘉義縣,2010,DPP,KMT,0,0,10,1,0
嘉義縣,2011,DPP,KMT,0,0,11,1,0
嘉義縣,2012,DPP,KMT,0,0,12,1,0
嘉義縣,2013,DPP,KMT,0,0,13,1,0
嘉義縣,2014,DPP,KMT,0,0,14,1,0
嘉義縣,2015,DPP,KMT,0,0,15,1,0
嘉義縣,2016,DPP,DPP,1,0,16,1,0
嘉義縣,2017,DPP,DPP,1,0,17,1,0
嘉義縣,2018,DPP,DPP,1,0,18,1,0
嘉義縣,2019,DPP,DPP,1,0,19,1,0
嘉義縣,2020,DPP,DPP,1,0,20,1,0
嘉義縣,2021,DPP,DPP,1,0,21,1,0
嘉義縣,2022,DPP,DPP,1,0,22,1,0
嘉義縣,2023,DPP,DPP,1,0,23,1,0
嘉義縣,2024,DPP,DPP,1,0,24,1,0
基隆市,1990,KMT,KMT,1,0,1,0,1
基隆市,1991,KMT,KMT,1,0,2,0,1
基隆市,1992,KMT,KMT,1,0,3,0,1
基隆市,1993,KMT,KMT,1,0,4,0,1
基隆市,1994,KMT,KMT,1,0,5,0,1
基隆市,1995,KMT,KMT,1,0,6,0,1
基隆市,1996,KMT,KMT,1,0,7,0,1
基隆市,1997,DPP,KMT,0,1,1,1,0
基隆市,1998,DPP,KMT,0,1,2,1,0
基隆市,1999,DPP,KMT,0,1,3,1,0
基隆市,2000,DPP,DPP,1,1,4,1,0
基隆市,2001,KMT,DPP,0,1,1,0,1
基隆市,2002,KMT,DPP,0,1,2,0,1
基隆市,2003,KMT,DPP,0,1,3,0,1
基隆市,2004,KMT,DPP,0,1,4,0,1
基隆市,2005,KMT,DPP,0,0,5,0,1
基隆市,2006,KMT,DPP,0,0,6,0,1
基隆市,2007,KMT,DPP,0,0,7,0,1
基隆市,2008,KMT,KMT,1,0,8,0,1
