county,year,per_capita_income,unemployment_rate,population,tax_revenue_per_capita,log_income,local_party,central_party,aligned,party_alternation,consecutive_years,dpp_dummy,kmt_dummy
新北市,1990,236511.0,2.0999999999999996,3230472.0,13000.0,12.3737,DPP,KMT,0,0,1,1,0
新北市,1991,240743.6,2.2399999999999993,3264214.4,13200.0,12.3915,DPP,KMT,0,0,2,1,0
新北市,1992,244976.2,2.38,3297956.8,13400.0,12.4089,DPP,KMT,0,0,3,1,0
新北市,1993,249208.8,2.5199999999999996,3331699.2,13600.0,12.426,DPP,KMT,0,0,4,1,0
新北市,1994,253441.4,2.6599999999999997,3365441.6,13800.0,12.4429,DPP,KMT,0,0,5,1,0
新北市,1995,257674.0,2.8,3399184.0,14000.0,12.4595,DPP,KMT,0,0,6,1,0
新北市,1996,261906.6,2.94,3432926.4,14200.0,12.4757,DPP,KMT,0,0,7,1,0
新北市,1997,266139.2,3.08,3466668.8,14400.0,12.4918,DPP,KMT,0,0,8,1,0
新北市,1998,270371.8,3.22,3500411.2,14600.0,12.5076,DPP,KMT,0,0,9,1,0
新北市,1999,274604.4,3.36,3534153.6,14800.0,12.5231,DPP,KMT,0,0,10,1,0
新北市,2000,278837.0,3.5,3567896.0,15000.0,12.5384,DPP,DPP,1,0,11,1,0
新北市,2001,283069.6,3.64,3601638.4,15200.0,12.5534,DPP,DPP,1,0,12,1,0
新北市,2002,287302.2,3.78,3635380.8,15400.0,12.5683,DPP,DPP,1,0,13,1,0
新北市,2003,291534.8,3.92,3669123.2,15600.0,12.5829,DPP,DPP,1,0,14,1,0
新北市,2004,295767.4,4.0600000000000005,3702865.6,15800.0,12.5973,DPP,DPP,1,0,15,1,0
新北市,2005,300000.0,4.2,3736608.0,16000.0,12.6115,KMT,DPP,0,1,1,0,1
新北市,2006,298800.0,4.4,3768759.8,16100.0,12.6075,KMT,DPP,0,1,2,0,1
新北市,2007,297600.0,4.6000000000000005,3800911.6,16200.0,12.6035,KMT,DPP,0,1,3,0,1
新北市,2008,296400.0,4.8,3833063.4,16300.0,12.5995,KMT,KMT,1,1,4,0,1
新北市,2009,295200.0,5.0,3865215.2,16400.0,12.5954,KMT,KMT,1,0,5,0,1
新北市,2010,294000.0,5.2,3897367.0,16500.0,12.5913,KMT,KMT,1,0,6,0,1
新北市,2011,278837.0,4.94,3912022.4,16700.0,12.5384,KMT,KMT,1,0,7,0,1
新北市,2012,285377.75,4.68,3926677.8,16900.0,12.5616,KMT,KMT,1,0,8,0,1
新北市,2013,291918.5,4.42,3941333.2,17100.0,12.5842,KMT,KMT,1,0,9,0,1
新北市,2014,298459.25,4.16,3955988.6,17300.0,12.6064,KMT,KMT,1,0,10,0,1
新北市,2015,305000.0,3.9,3970644.0,17500.0,12.6281,KMT,KMT,1,0,11,0,1
新北市,2016,308000.0,3.9,3982706.0,17700.0,12.6379,KMT,DPP,0,0,12,0,1
新北市,2017,311000.0,3.9,3994768.0,17900.0,12.6475,KMT,DPP,0,0,13,0,1
新北市,2018,314000.0,3.9,4006830.0,18100.0,12.6571,KMT,DPP,0,0,14,0,1
新北市,2019,317000.0,3.9,4018892.0,18300.0,12.6667,KMT,DPP,0,0,15,0,1
新北市,2020,320000.0,3.9,4030954.0,18500.0,12.6761,KMT,DPP,0,0,16,0,1
新北市,2021,323000.0,3.9,4043016.0,18700.0,12.6854,KMT,DPP,0,0,17,0,1
新北市,2022,326000.0,3.9,4055078.0,18900.0,12.6947,KMT,DPP,0,0,18,0,1
新北市,2023,329000.0,3.9,4067140.0,19100.0,12.7038,KMT,DPP,0,0,19,0,1
新北市,2024,332000.0,3.9,4079202.0,19300.0,12.7129,KMT,DPP,0,0,20,0,1
臺北市,1994,359796.0,1.7999999999999998,2682592.8,31400.0,12.7933,DPP,KMT,0,0,1,1,0
臺北市,1995,363360.0,2.0,2676573.0,32000.0,12.8031,DPP,KMT,0,0,2,1,0
臺北市,1996,366924.0,2.2,2670553.2,32600.0,12.8129,DPP,KMT,0,0,3,1,0
臺北市,1997,370488.0,2.4,2664533.4,33200.0,12.8226,DPP,KMT,0,0,4,1,0
臺北市,1998,374052.0,2.6,2658513.6,33800.0,12.8322,KMT,KMT,1,1,1,0,1
臺北市,1999,377616.0,2.8,2652493.8,34400.0,12.8416,KMT,KMT,1,1,2,0,1
臺北市,2000,381180.0,3.0,2646474.0,35000.0,12.851,KMT,DPP,0,1,3,0,1
臺北市,2001,384744.0,3.2,2640454.2,35600.0,12.8603,KMT,DPP,0,1,4,0,1
臺北市,2002,388308.0,3.4,2634434.4,36200.0,12.8696,KMT,DPP,0,0,5,0,1
臺北市,2003,391872.0,3.6,2628414.6,36800.0,12.8787,KMT,DPP,0,0,6,0,1
臺北市,2004,395436.0,3.8,2622394.8,37400.0,12.8877,KMT,DPP,0,0,7,0,1
臺北市,2005,399000.0,4.0,2616375.0,38000.0,12.8967,KMT,DPP,0,0,8,0,1
臺北市,2006,399600.0,4.24,2616854.4,38400.0,12.8982,KMT,DPP,0,0,9,0,1
臺北市,2007,400200.0,4.48,2617333.8,38800.0,12.8997,KMT,DPP,0,0,10,0,1
臺北市,2008,400800.0,4.72,2617813.2,39200.0,12.9012,KMT,KMT,1,0,11,0,1
臺北市,2009,401400.0,4.96,2618292.6,39600.0,12.9027,KMT,KMT,1,0,12,0,1
臺北市,2010,402000.0,5.2,2618772.0,40000.0,12.9042,KMT,KMT,1,0,13,0,1
臺北市,2011,381180.0,4.92,2635979.6,40400.0,12.851,KMT,KMT,1,0,14,0,1
臺北市,2012,388385.0,4.64,2653187.2,40800.0,12.8698,KMT,KMT,1,0,15,0,1
臺北市,2013,395590.0,4.36,2670394.8,41200.0,12.8881,KMT,KMT,1,0,16,0,1
臺北市,2014,402795.0,4.08,2687602.4,41600.0,12.9062,IND,KMT,0,1,1,0,0
臺北市,2015,410000.0,3.8,2704810.0,42000.0,12.9239,IND,KMT,0,1,2,0,0
臺北市,2016,414000.0,3.82,2684331.6,42400.0,12.9336,IND,DPP,0,1,3,0,0
臺北市,2017,418000.0,3.84,2663853.2,42800.0,12.9432,IND,DPP,0,1,4,0,0
臺北市,2018,422000.0,3.86,2643374.8,43200.0,12.9528,IND,DPP,0,0,5,0,0
臺北市,2019,426000.0,3.88,2622896.4,43600.0,12.9622,IND,DPP,0,0,6,0,0
臺北市,2020,430000.0,3.9,2602418.0,44000.0,12.9715,IND,DPP,0,0,7,0,0
臺北市,2021,434000.0,3.92,2581939.6,44400.0,12.9808,IND,DPP,0,0,8,0,0
臺北市,2022,438000.0,3.94,2561461.2,44800.0,12.99,KMT,DPP,0,1,1,0,1
臺北市,2023,442000.0,3.96,2540982.8,45200.0,12.9991,KMT,DPP,0,1,2,0,1
臺北市,2024,446000.0,3.98,2520504.4,45600.0,13.0081,KMT,DPP,0,1,3,0,1
桃園市,1990,229093.0,1.0,1437219.0,15000.0,12.3419,KMT,KMT,1,0,1,0,1
桃園市,1991,233486.8,1.2,1466758.8,15300.0,12.3609,KMT,KMT,1,0,2,0,1
桃園市,1992,237880.6,1.4,1496298.6,15600.0,12.3795,KMT,KMT,1,0,3,0,1
桃園市,1993,242274.4,1.6,1525838.4,15900.0,12.3978,KMT,KMT,1,0,4,0,1
桃園市,1994,246668.2,1.7999999999999998,1555378.2,16200.0,12.4158,KMT,KMT,1,0,5,0,1
桃園市,1995,251062.0,2.0,1584918.0,16500.0,12.4335,KMT,KMT,1,0,6,0,1
桃園市,1996,255455.8,2.2,1614457.8,16800.0,12.4508,KMT,KMT,1,0,7,0,1
桃園市,1997,259849.6,2.4,1643997.6,17100.0,12.4679,DPP,KMT,0,1,1,1,0
桃園市,1998,264243.4,2.6,1673537.4,17400.0,12.4846,DPP,KMT,0,1,2,1,0
桃園市,1999,268637.2,2.8,1703077.2,17700.0,12.5011,DPP,KMT,0,1,3,1,0
桃園市,2000,273031.0,3.0,1732617.0,18000.0,12.5173,DPP,DPP,1,1,4,1,0
桃園市,2001,277424.8,3.2,1762156.8,18300.0,12.5333,KMT,DPP,0,1,1,0,1
桃園市,2002,281818.6,3.4,1791696.6,18600.0,12.549,KMT,DPP,0,1,2,0,1
桃園市,2003,286212.4,3.6,1821236.4,18900.0,12.5645,KMT,DPP,0,1,3,0,1
桃園市,2004,290606.2,3.8,1850776.2,19200.0,12.5797,KMT,DPP,0,1,4,0,1
桃園市,2005,295000.0,4.0,1880316.0,19500.0,12.5947,KMT,DPP,0,0,5,0,1
桃園市,2006,293600.0,4.2,1904664.8,19800.0,12.59,KMT,DPP,0,0,6,0,1
桃園市,2007,292200.0,4.4,1929013.6,20100.0,12.5852,KMT,DPP,0,0,7,0,1
桃園市,2008,290800.0,4.6,1953362.4,20400.0,12.5804,KMT,KMT,1,0,8,0,1
桃園市,2009,289400.0,4.8,1977711.2,20700.0,12.5756,KMT,KMT,1,0,9,0,1
桃園市,2010,288000.0,5.0,2002060.0,21000.0,12.5707,KMT,KMT,1,0,10,0,1
桃園市,2011,273031.0,4.76,2022804.0,21300.0,12.5173,KMT,KMT,1,0,11,0,1
