year,county,income_rank,unemp_rank,dominant_party
1996,南投縣,19,17,KMT
1996,嘉義市,10,6,KMT
1996,嘉義縣,13,11,DPP
1996,基隆市,7,12,KMT
1996,宜蘭縣,17,13,DPP
1996,屏東縣,12,14,DPP
1996,彰化縣,20,8,KMT
1996,新北市,5,7,KMT
1996,新竹市,2,4,KMT
1996,新竹縣,3,1,KMT
1996,桃園市,8,2,KMT
1996,澎湖縣,14,16,KMT
1996,臺中市,9,5,KMT
1996,臺北市,1,3,KMT
1996,臺南市,11,10,DPP
1996,臺東縣,16,19,KMT
1996,花蓮縣,4,20,KMT
1996,苗栗縣,15,9,KMT
1996,雲林縣,18,18,DPP
1996,高雄市,6,15,DPP
1997,南投縣,20,17,KMT
1997,嘉義市,10,6,KMT
1997,嘉義縣,13,11,DPP
1997,基隆市,8,12,KMT
1997,宜蘭縣,17,13,DPP
1997,屏東縣,12,14,DPP
1997,彰化縣,19,8,KMT
1997,新北市,5,7,KMT
1997,新竹市,2,4,KMT
1997,新竹縣,3,1,KMT
1997,桃園市,7,2,KMT
1997,澎湖縣,14,16,KMT
1997,臺中市,9,5,KMT
1997,臺北市,1,3,KMT
1997,臺南市,11,10,DPP
1997,臺東縣,16,19,KMT
1997,花蓮縣,4,20,KMT
1997,苗栗縣,15,9,KMT
1997,雲林縣,18,18,DPP
1997,高雄市,6,15,DPP
1998,南投縣,20,17,KMT
1998,嘉義市,10,6,KMT
1998,嘉義縣,13,11,DPP
1998,基隆市,8,12,KMT
1998,宜蘭縣,16,13,DPP
1998,屏東縣,12,14,DPP
1998,彰化縣,19,8,KMT
1998,新北市,4,7,KMT
1998,新竹市,2,4,KMT
1998,新竹縣,3,1,KMT
1998,桃園市,6,2,KMT
1998,澎湖縣,14,16,KMT
1998,臺中市,9,5,KMT
1998,臺北市,1,3,KMT
1998,臺南市,11,10,DPP
1998,臺東縣,17,19,KMT
1998,花蓮縣,5,20,KMT
1998,苗栗縣,15,9,KMT
1998,雲林縣,18,18,DPP
1998,高雄市,7,15,DPP
1999,南投縣,20,17,KMT
1999,嘉義市,10,6,KMT
1999,嘉義縣,13,11,DPP
1999,基隆市,8,12,KMT
1999,宜蘭縣,16,13,DPP
1999,屏東縣,12,14,DPP
1999,彰化縣,19,8,KMT
1999,新北市,4,7,KMT
1999,新竹市,2,4,KMT
1999,新竹縣,3,1,KMT
1999,桃園市,6,2,KMT
1999,澎湖縣,14,16,KMT
1999,臺中市,9,5,KMT
1999,臺北市,1,3,KMT
1999,臺南市,11,10,DPP
1999,臺東縣,18,19,KMT
1999,花蓮縣,5,20,KMT
1999,苗栗縣,15,9,KMT
1999,雲林縣,17,18,DPP
1999,高雄市,7,15,DPP
2000,南投縣,20,18,KMT
2000,嘉義市,10,8,KMT
2000,嘉義縣,12,11,DPP
2000,基隆市,8,12,KMT
2000,宜蘭縣,16,13,DPP
2000,屏東縣,13,14,DPP
2000,彰化縣,19,10,KMT
2000,新北市,4,9,KMT
2000,新竹市,2,4,KMT
2000,新竹縣,3,1,KMT
2000,桃園市,5,2,KMT
2000,澎湖縣,14,17,KMT
2000,臺中市,9,7,KMT
2000,臺北市,1,3,KMT
2000,臺南市,11,6,DPP
2000,臺東縣,18,19,KMT
2000,花蓮縣,7,20,KMT
2000,苗栗縣,15,5,KMT
2000,雲林縣,17,16,DPP
2000,高雄市,6,15,DPP
2001,南投縣,20,18,KMT
2001,嘉義市,10,8,KMT
2001,嘉義縣,12,12,DPP
2001,基隆市,9,13,KMT
2001,宜蘭縣,16,14,DPP
2001,屏東縣,13,17,DPP
2001,彰化縣,19,10,KMT
2001,新北市,4,9,KMT
2001,新竹市,2,4,KMT
2001,新竹縣,3,1,KMT
2001,桃園市,5,2,KMT
2001,澎湖縣,14,16,KMT
2001,臺中市,8,7,KMT
2001,臺北市,1,3,KMT
2001,臺南市,11,6,DPP
2001,臺東縣,18,19,KMT
2001,花蓮縣,7,20,KMT
2001,苗栗縣,15,5,KMT
2001,雲林縣,17,11,DPP
2001,高雄市,6,15,DPP
2002,南投縣,20,18,KMT
2002,嘉義市,10,8,KMT
2002,嘉義縣,12,12,DPP
2002,基隆市,9,13,KMT
2002,宜蘭縣,16,14,DPP
2002,屏東縣,14,17,DPP
2002,彰化縣,19,10,KMT
2002,新北市,4,9,KMT
2002,新竹市,2,4,KMT
2002,新竹縣,3,1,KMT
2002,桃園市,5,2,KMT
2002,澎湖縣,15,16,KMT
2002,臺中市,7,7,KMT
2002,臺北市,1,3,KMT
2002,臺南市,11,6,DPP
2002,臺東縣,18,19,KMT
2002,花蓮縣,8,20,KMT
2002,苗栗縣,13,5,KMT
2002,雲林縣,17,11,DPP
2002,高雄市,6,15,DPP
2003,南投縣,20,18,KMT
2003,嘉義市,10,8,KMT
2003,嘉義縣,13,12,DPP
2003,基隆市,9,13,KMT
2003,宜蘭縣,16,14,DPP
2003,屏東縣,14,17,DPP
2003,彰化縣,19,10,KMT
2003,新北市,4,9,KMT
2003,新竹市,2,4,KMT
2003,新竹縣,3,1,KMT
2003,桃園市,5,2,KMT
2003,澎湖縣,15,16,KMT
2003,臺中市,7,7,KMT
2003,臺北市,1,3,KMT
2003,臺南市,11,6,DPP
2003,臺東縣,18,19,KMT
2003,花蓮縣,8,20,KMT
2003,苗栗縣,12,5,KMT
2003,雲林縣,17,11,DPP
2003,高雄市,6,15,DPP
2004,南投縣,20,18,KMT
2004,嘉義市,10,8,KMT
2004,嘉義縣,13,12,DPP
2004,基隆市,8,13,KMT
2004,宜蘭縣,16,14,DPP
2004,屏東縣,14,17,DPP
2004,彰化縣,19,10,KMT
2004,新北市,4,9,KMT
2004,新竹市,2,4,KMT
2004,新竹縣,3,1,KMT
2004,桃園市,5,2,KMT
2004,澎湖縣,15,16,KMT
2004,臺中市,7,7,KMT
2004,臺北市,1,3,KMT
2004,臺南市,11,6,DPP
2004,臺東縣,18,19,KMT
2004,花蓮縣,9,20,KMT
2004,苗栗縣,12,5,KMT
2004,雲林縣,17,11,DPP
2004,高雄市,6,15,DPP
2005,南投縣,20,18,KMT
2005,嘉義市,10,8,KMT
2005,嘉義縣,13,12,DPP
2005,基隆市,8,13,KMT
2005,宜蘭縣,15,14,DPP
2005,屏東縣,14,17,DPP
2005,彰化縣,18,10,KMT
2005,新北市,4,9,KMT
2005,新竹市,2,6,KMT
2005,新竹縣,3,1,KMT
2005,桃園市,5,2,KMT
2005,澎湖縣,16,16,KMT
2005,臺中市,7,7,KMT
2005,臺北市,1,5,KMT
2005,臺南市,11,4,DPP
2005,臺東縣,19,19,KMT
2005,花蓮縣,9,20,KMT
2005,苗栗縣,12,3,KMT
