相對年度,平均所得相對成長率百分點,事件數,縣市,輪替年度,由,轉為,所得相對成長率百分點
-5,0.03232194285707781,23,嘉義市,2015,KMT,DPP,1.509614497005174
-5,0.03232194285707781,23,嘉義市,2019,DPP,KMT,-8.389856103040927
-5,0.03232194285707781,23,基隆市,2015,KMT,DPP,-0.5118942774469559
-5,0.03232194285707781,23,基隆市,2023,DPP,KMT,-4.744305883598088
-5,0.03232194285707781,23,宜蘭縣,2006,DPP,KMT,-7.765079194578206
-5,0.03232194285707781,23,宜蘭縣,2010,KMT,DPP,11.647866340611657
-5,0.03232194285707781,23,宜蘭縣,2019,DPP,KMT,8.805759020452442
-5,0.03232194285707781,23,彰化縣,2006,DPP,KMT,-4.39418661227684
-5,0.03232194285707781,23,彰化縣,2015,KMT,DPP,-1.4901416753156482
-5,0.03232194285707781,23,彰化縣,2019,DPP,KMT,-2.340583958105924
-5,0.03232194285707781,23,新北市,2006,DPP,KMT,4.113967015110198
-5,0.03232194285707781,23,新竹市,2015,KMT,DPP,4.183214052355133
-5,0.03232194285707781,23,桃園市,2015,KMT,DPP,-2.9379637169492767
-5,0.03232194285707781,23,桃園市,2023,DPP,KMT,0.4823531737629949
-5,0.03232194285707781,23,澎湖縣,2006,KMT,DPP,-13.18529473845107
-5,0.03232194285707781,23,澎湖縣,2019,DPP,KMT,-1.357567581825414
-5,0.03232194285707781,23,澎湖縣,2023,KMT,DPP,7.327588944726315
-5,0.03232194285707781,23,臺中市,2015,KMT,DPP,0.9231833284935931
-5,0.03232194285707781,23,臺中市,2019,DPP,KMT,1.287683356638425
-5,0.03232194285707781,23,雲林縣,2006,KMT,DPP,7.907584641756316
-5,0.03232194285707781,23,雲林縣,2019,DPP,KMT,2.0450081310661616
-5,0.03232194285707781,23,高雄市,2019,DPP,KMT,-1.2796390319874007
-5,0.03232194285707781,23,高雄市,2021,KMT,DPP,-1.0939050426898689
-4,-0.018855188936414087,23,嘉義市,2015,KMT,DPP,7.459355359356579
-4,-0.018855188936414087,23,嘉義市,2019,DPP,KMT,-5.1648494480502904
-4,-0.018855188936414087,23,嘉義縣,2002,KMT,DPP,
-4,-0.018855188936414087,23,基隆市,2015,KMT,DPP,-3.804913785714703
-4,-0.018855188936414087,23,基隆市,2023,DPP,KMT,4.274826807049514
-4,-0.018855188936414087,23,宜蘭縣,2006,DPP,KMT,-5.098895859695318
-4,-0.018855188936414087,23,宜蘭縣,2010,KMT,DPP,-8.920080645257578
-4,-0.018855188936414087,23,宜蘭縣,2019,DPP,KMT,5.441564754928052
-4,-0.018855188936414087,23,彰化縣,2002,KMT,DPP,
-4,-0.018855188936414087,23,彰化縣,2006,DPP,KMT,11.481265523388906
-4,-0.018855188936414087,23,彰化縣,2015,KMT,DPP,2.027277993270893
-4,-0.018855188936414087,23,彰化縣,2019,DPP,KMT,-1.863085096919903
-4,-0.018855188936414087,23,新北市,2006,DPP,KMT,-0.41131829130964803
-4,-0.018855188936414087,23,新竹市,2002,DPP,KMT,
-4,-0.018855188936414087,23,新竹市,2015,KMT,DPP,-4.8027317809424375
-4,-0.018855188936414087,23,桃園市,2002,DPP,KMT,
-4,-0.018855188936414087,23,桃園市,2015,KMT,DPP,2.880616925777879
-4,-0.018855188936414087,23,桃園市,2023,DPP,KMT,-0.7103183492024101
-4,-0.018855188936414087,23,澎湖縣,2006,KMT,DPP,0.8473223846864997
-4,-0.018855188936414087,23,澎湖縣,2019,DPP,KMT,-14.444923299339507
-4,-0.018855188936414087,23,澎湖縣,2023,KMT,DPP,6.840853354670706
-4,-0.018855188936414087,23,臺中市,2002,DPP,KMT,
-4,-0.018855188936414087,23,臺中市,2015,KMT,DPP,8.457369598099085
-4,-0.018855188936414087,23,臺中市,2019,DPP,KMT,0.6745852213025927
-4,-0.018855188936414087,23,雲林縣,2006,KMT,DPP,-7.069577803855509
-4,-0.018855188936414087,23,雲林縣,2019,DPP,KMT,-0.46861567733245124
-4,-0.018855188936414087,23,高雄市,2019,DPP,KMT,2.3012945421472253
-4,-0.018855188936414087,23,高雄市,2021,KMT,DPP,-0.3606917725957004
-3,0.8786960190545859,28,嘉義市,2015,KMT,DPP,15.287442461183431
-3,0.8786960190545859,28,嘉義市,2019,DPP,KMT,1.8694742814410859
-3,0.8786960190545859,28,嘉義縣,2002,KMT,DPP,6.065903695217223
-3,0.8786960190545859,28,基隆市,2015,KMT,DPP,-8.965037738038184
-3,0.8786960190545859,28,基隆市,2023,DPP,KMT,-3.0019291928951475
-3,0.8786960190545859,28,宜蘭縣,2006,DPP,KMT,10.693570735019797
-3,0.8786960190545859,28,宜蘭縣,2010,KMT,DPP,-3.411524941897781
-3,0.8786960190545859,28,宜蘭縣,2019,DPP,KMT,-8.695095260058139
-3,0.8786960190545859,28,彰化縣,2002,KMT,DPP,-8.07832199076124
-3,0.8786960190545859,28,彰化縣,2006,DPP,KMT,1.421749226343394
-3,0.8786960190545859,28,彰化縣,2015,KMT,DPP,0.8909957013177205
-3,0.8786960190545859,28,彰化縣,2019,DPP,KMT,4.88509743126766
-3,0.8786960190545859,28,新北市,2006,DPP,KMT,-0.07837745636827265
-3,0.8786960190545859,28,新竹市,2002,DPP,KMT,3.3687876473857514
-3,0.8786960190545859,28,新竹市,2015,KMT,DPP,-3.461014743739277
-3,0.8786960190545859,28,桃園市,2002,DPP,KMT,-2.428414953131508
-3,0.8786960190545859,28,桃園市,2015,KMT,DPP,2.8732616089644836
-3,0.8786960190545859,28,桃園市,2023,DPP,KMT,1.1734209428251319
-3,0.8786960190545859,28,澎湖縣,2006,KMT,DPP,-3.6013965761645395
-3,0.8786960190545859,28,澎湖縣,2019,DPP,KMT,25.757629648644098
-3,0.8786960190545859,28,澎湖縣,2023,KMT,DPP,3.9308051047845183
-3,0.8786960190545859,28,臺中市,2002,DPP,KMT,1.987221806035322
-3,0.8786960190545859,28,臺中市,2015,KMT,DPP,-4.884085841159269
-3,0.8786960190545859,28,臺中市,2019,DPP,KMT,-5.082361069489139
-3,0.8786960190545859,28,雲林縣,2006,KMT,DPP,-2.769459762262194
-3,0.8786960190545859,28,雲林縣,2019,DPP,KMT,-0.13746507010061748
-3,0.8786960190545859,28,高雄市,2019,DPP,KMT,-1.0939050426898689
-3,0.8786960190545859,28,高雄市,2021,KMT,DPP,0.0865178818539647
-2,-0.30145552533768416,28,嘉義市,2015,KMT,DPP,9.965112824994726
-2,-0.30145552533768416,28,嘉義市,2019,DPP,KMT,-7.545474152900056
-2,-0.30145552533768416,28,嘉義縣,2002,KMT,DPP,14.144417095044481
-2,-0.30145552533768416,28,基隆市,2015,KMT,DPP,4.809846242008575
