案例縣市,角色,縣市,年度,所得指數_1999_2002_100,地方首長黨籍,配對距離
臺南市,處理縣市,臺南市,1998,100.46117994452615,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,1999,99.3769397881656,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2000,103.04235709545368,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2001,96.84353722217105,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2002,100.73716589420967,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2003,106.19386022357563,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2004,106.33178572019007,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2005,99.47626773876074,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2006,106.78483453832577,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2007,110.10854210253385,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2008,109.31985658177568,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2009,104.02497504149069,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2010,99.9630556705497,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2011,105.70099925132908,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2012,103.92699665544167,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2013,112.07688199306392,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2014,112.0080542012113,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2015,113.03007943199528,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2016,119.37222306007689,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2017,121.80305872056559,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2018,121.3139765290482,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2019,122.01602000594482,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2020,122.01966383021939,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2021,124.81785096016455,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2022,127.112785470858,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2023,131.0678193297455,民主進步黨,0.5037049110947311
臺南市,處理縣市,臺南市,2024,136.27470926162286,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,1998,102.64517963142251,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,1999,108.30380197900469,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2000,105.47285320700684,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2001,95.09729298466029,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2002,91.1260518293282,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2003,102.07568847903809,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2004,95.54717396402262,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2005,107.750948824401,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2006,100.59582373154919,中國國民黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2007,98.36986924105838,中國國民黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2008,111.08575381265615,中國國民黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2009,97.7660540302602,中國國民黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2010,105.1315777407171,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2011,94.5103777873559,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2012,116.95425074641726,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2013,106.62401924243396,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2014,118.24821534547428,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2015,125.91099588242307,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2016,118.80119950793448,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2017,118.05995705562462,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2018,118.73897077607745,民主進步黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2019,120.71050800916532,中國國民黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2020,125.68553136131573,中國國民黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2021,124.43820555918738,中國國民黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2022,125.92802690377343,中國國民黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2023,123.19310689062024,中國國民黨,0.5037049110947311
臺南市,配對縣市,宜蘭縣,2024,123.09642309249284,中國國民黨,0.5037049110947311
屏東縣,處理縣市,屏東縣,1998,100.745089950852,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,1999,97.55223499846667,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2000,104.09100654311372,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2001,92.23334301276329,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2002,106.12341544565633,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2003,102.81644272807948,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2004,95.50191462742788,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2005,100.56122601287998,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2006,101.45937760360835,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2007,108.02705174514695,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2008,95.13581506680163,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2009,98.70766040941274,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2010,95.62933030104837,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2011,96.3654645176523,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2012,99.8936167325682,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2013,97.98400994357888,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2014,94.92372699665381,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2015,99.82251363035614,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2016,103.33981040981983,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2017,108.75083790392397,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2018,113.23684660455548,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2019,110.80468629148473,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2020,121.03525574048997,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2021,118.84544302389011,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2022,123.43579959780611,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2023,123.43851345666917,民主進步黨,0.37925922620989083
屏東縣,處理縣市,屏東縣,2024,123.19508031665305,民主進步黨,0.37925922620989083
屏東縣,配對縣市,雲林縣,1998,92.6361590807195,中國國民黨,0.37925922620989083
屏東縣,配對縣市,雲林縣,1999,103.95286839416755,中國國民黨,0.37925922620989083
屏東縣,配對縣市,雲林縣,2000,97.20918202528287,中國國民黨,0.37925922620989083
屏東縣,配對縣市,雲林縣,2001,102.51803257115117,中國國民黨,0.37925922620989083
