outcome,specification,n,counties,years,coefficient,std_error,t_stat,p_value_normal,mean_outcome,notes
所得相對成長率百分點,所得相對成長率百分點：基準 FE,520,20,1999-2024,0.05708226970644953,0.44996757897498335,0.12685862798489111,0.8990522920962666,0.040457988160779085,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
所得相對成長率百分點,所得相對成長率百分點：加入縣市線性趨勢,520,20,1999-2024,0.16906900475828884,0.4836826381123017,0.3495453246329555,0.7266799498740347,0.040457988160779085,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
所得相對成長率百分點,所得相對成長率百分點：排除六都,364,14,1999-2024,-0.19979201547788872,0.7172409903052577,-0.27855632650450896,0.7805853328697746,0.06332652429479847,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
所得相對成長率百分點,所得相對成長率百分點：排除臺北市與新竹市,468,18,1999-2024,0.060399323570178465,0.5070875593772312,0.11911024526879857,0.9051880139793923,0.02610897315064819,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
所得相對成長率百分點,所得相對成長率百分點：排除澎湖,494,19,1999-2024,-0.010416555827200719,0.4675564147229525,-0.022278714395081032,0.9822256281203832,0.009502951781819539,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
失業率,失業率：基準 FE,540,20,1998-2024,0.00721844546397854,0.0247120247199641,0.29210255111743133,0.7702082161983964,4.011851851851852,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
失業率,失業率：加入縣市線性趨勢,540,20,1998-2024,0.01063999372124691,0.024962382432560857,0.4262411150054385,0.669932160889645,4.011851851851852,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
失業率,失業率：排除六都,378,14,1998-2024,0.00785087066527801,0.02738556744767921,0.2866791305411979,0.7743580185793815,3.987830687830688,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
失業率,失業率：排除臺北市與新竹市,486,18,1998-2024,0.006636916835695672,0.026131328728729045,0.2539831366630423,0.799508586018139,4.016872427983539,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
失業率,失業率：排除澎湖,513,19,1998-2024,0.011842550471817148,0.02489262442401026,0.4757453561382776,0.634255803782158,4.025536062378168,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
失業率變動,失業率變動：基準 FE,520,20,1999-2024,-0.025547377593207396,0.023169698300363768,-1.1026202094658393,0.2701921301738955,0.025384615384615384,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
失業率變動,失業率變動：加入縣市線性趨勢,520,20,1999-2024,-0.02932000472018889,0.02471682288811156,-1.1862367931718034,0.23552879991162654,0.025384615384615384,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
失業率變動,失業率變動：排除六都,364,14,1999-2024,-0.012131857358768018,0.026606031682486115,-0.45598146704282944,0.6484033052612409,0.028571428571428567,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
失業率變動,失業率變動：排除臺北市與新竹市,468,18,1999-2024,-0.028710609420143925,0.024887991709216146,-1.1535928553653545,0.24866712888961495,0.02457264957264957,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
失業率變動,失業率變動：排除澎湖,494,19,1999-2024,-0.015250354078147482,0.022141330311345398,-0.6887731614903498,0.49096602752846075,0.02348178137651822,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
企業家數對數成長率,企業家數對數成長率：基準 FE,208,20,2014-2024,0.0027469642390470367,0.0010544303467707509,2.6051642457557875,0.009183022731303765,0.021451530928037678,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
企業家數對數成長率,企業家數對數成長率：加入縣市線性趨勢,208,20,2014-2024,0.002218638410496937,0.0011326023378080985,1.9588856003870003,0.050126185755518214,0.021451530928037678,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
企業家數對數成長率,企業家數對數成長率：排除六都,150,14,2014-2024,0.002821618976846532,0.0014881098709740247,1.8961093074395607,0.05794559211174741,0.021065003646183876,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
企業家數對數成長率,企業家數對數成長率：排除臺北市與新竹市,186,18,2014-2024,0.0030401446146967673,0.001189621452559896,2.5555563142836815,0.010601820454935037,0.02199057449689769,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
企業家數對數成長率,企業家數對數成長率：排除澎湖,201,19,2014-2024,0.002344489118410606,0.000903020432304733,2.596274718199771,0.009424068275820109,0.021413201883420014,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
企業銷售額對數成長率,企業銷售額對數成長率：基準 FE,208,20,2014-2024,0.030339088015827062,0.009422332266266249,3.2199127730240207,0.0012822960731279293,0.038532433180923316,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
企業銷售額對數成長率,企業銷售額對數成長率：加入縣市線性趨勢,208,20,2014-2024,0.04549718528569516,0.010802113655403917,4.211878039529284,2.5325627747212585e-05,0.038532433180923316,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
企業銷售額對數成長率,企業銷售額對數成長率：排除六都,150,14,2014-2024,0.033599464618866426,0.013620552544876438,2.466820968397889,0.013631849540112196,0.03798961067043001,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
企業銷售額對數成長率,企業銷售額對數成長率：排除臺北市與新竹市,186,18,2014-2024,0.028519809739485064,0.0105339711483687,2.707412934570422,0.006780985467166574,0.03560197603698578,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
企業銷售額對數成長率,企業銷售額對數成長率：排除澎湖,201,19,2014-2024,0.03141158666449462,0.00955741802117078,3.2866184773873384,0.0010139810947092356,0.03784926459860458,縣市與年度固定效果；標準誤依縣市聚類。非強因果估計。
