年度,平均每戶可支配所得,臺灣地區平均每戶可支配所得,縣市,所得對數,全國所得對數,所得對數成長率,全國所得對數成長率,所得相對成長率百分點,失業率,企業家數,企業銷售額百萬元,企業家數對數成長率,企業銷售額對數成長率,中央執政黨代碼,中央執政黨,地方首長黨籍代碼,地方首長黨籍,中央地方同黨,地方是否主要政黨,地方國民黨執政,地方民進黨執政,六都,特殊產業結構縣市,離島縣市,任期年序,地方政黨輪替,失業率變動
1998,725605,873175,南投縣,13.494761068608275,13.67989127292283,,,,2.5,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,1,0,
1999,858800,889053,南投縣,13.663291344986764,13.697912130266793,0.1685302763784886,0.01802085734396286,15.050941903452575,3.1,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,1,0,0.6000000000000001
2000,729438,891445,南投縣,13.500029653614162,13.700599020607656,-0.16326169137260216,0.002686890340863002,-16.594858171346516,3.8,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,2,0,0.6999999999999997
2001,694028,868651,南投縣,13.450267584496396,13.674696712533033,-0.04976206911776515,-0.025902308074623903,-2.3859761043141248,4.9,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,3,0,1.1000000000000005
2002,683359,875919,南投縣,13.434775622716694,13.683028899889882,-0.015491961779702024,0.008332187356849374,-2.38241491365514,5.3,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,4,0,0.39999999999999947
2003,681544,881662,南投縣,13.432116091497543,13.689564041586747,-0.002659531219151745,0.00653514169686531,-0.9194672916017055,5.3,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,5,0,0.0
2004,738359,891249,南投縣,13.512185435168728,13.700379128690377,0.08006934367118568,0.010815087103630106,6.925425656755557,4.7,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,6,0,-0.5999999999999996
2005,748483,894574,南投縣,13.525803770493049,13.70410290629004,0.01361833532432044,0.003723777599661915,0.9894557724658526,4.4,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,7,0,-0.2999999999999998
2006,815573,913092,南投縣,13.6116462126715,13.72459192120366,0.0858424421784516,0.020489014913620096,6.535342726483151,4.2,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,8,0,-0.20000000000000018
2007,722209,923874,南投縣,13.49006984966975,13.736330977689091,-0.12157636300175056,0.011739056485431831,-13.33154194871824,4.2,,,,,DPP,民主進步黨,KMT,中國國民黨,0,1,1,0,0,0,0,9,0,0.0
2008,708936,913687,南投縣,13.47152053345679,13.72524334102077,-0.018549316212959965,-0.011087636668321466,-0.74616795446385,4.4,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,10,0,0.20000000000000018
2009,808713,887605,南投縣,13.6031993741371,13.696282103192804,0.13167884068031022,-0.028961237827966002,16.064007850827622,6.0,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,11,0,1.5999999999999996
2010,782905,889353,南投縣,13.5707666393873,13.698249511048061,-0.032432734749800574,0.001967407855257619,-3.4400142605058193,5.3,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,12,0,-0.7000000000000002
2011,729037,907988,南投縣,13.499479764160993,13.71898644163707,-0.07128687522630628,0.02073693058900794,-9.202380581531422,4.6,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,13,0,-0.7000000000000002
2012,831790,923584,南投縣,13.63133528409798,13.73601703279575,0.13185551993698752,0.01703059115868122,11.48249287783063,4.4,,,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,14,0,-0.1999999999999993
2013,748930,942208,南投縣,13.526400800187966,13.755981335978323,-0.10493448391001436,0.01996430318257225,-12.489878709258662,4.3,24560.0,239616.0,,,KMT,中國國民黨,KMT,中國國民黨,1,1,1,0,0,0,0,15,0,-0.10000000000000053
