election_year,election_tier,eligible_voters,ballots_cast,valid_votes,invalid_votes,kmt_votes,dpp_votes,tpp_votes,pfp_votes,np_votes,npp_votes,tsu_votes,tsp_votes,other_votes,nonvoters,data_quality,note
1996,presidential,14313288,10046802,9161390,885412,5813699,2274586,0,0,0,0,0,0,1073105,4266486,official_candidate_estimated_turnout,
1997,local_executive,14850000,9250000,9080000,170000,3500000,4500000,0,0,250000,0,0,0,830000,5600000,estimated,
1998,county_councilor,14950000,9850000,9700000,150000,4950000,1750000,0,0,300000,0,0,0,2700000,5100000,estimated,
1998,legislative,14961938,10286000,10126000,160000,4150000,2966000,0,0,350000,0,0,0,2660000,4675938,estimated,
2000,presidential,15462625,12786671,12664393,122278,2925513,4977697,0,4664932,0,0,0,0,96251,2675954,official_candidate_estimated_turnout,
2001,legislative,15312846,10243000,10073000,170000,2900000,3600000,0,1900000,0,0,700000,0,973000,5069846,estimated,
2001,local_executive,15700000,10050000,9870000,180000,4000000,4800000,0,280000,0,0,0,0,790000,5650000,estimated,
2002,county_councilor,15900000,10150000,9990000,160000,4300000,2250000,0,750000,0,0,250000,0,2440000,5750000,estimated,
2004,legislative,16559254,10706000,10546000,160000,3200000,3500000,0,1200000,120000,0,850000,0,1676000,5853254,estimated,
2004,presidential,16507179,13129722,12914422,215300,6442452,6471970,0,0,0,0,0,0,0,3377457,official_candidate_estimated_turnout,
2005,county_councilor,16500000,10500000,10340000,160000,4600000,2350000,0,500000,0,0,220000,0,2670000,6000000,estimated,
2005,local_executive,16500000,10650000,10470000,180000,6500000,3500000,0,120000,0,0,0,0,350000,5850000,estimated,
2008,legislative,17288551,10180000,10030000,150000,5010801,3610106,0,70000,0,0,260000,0,1079093,7108551,estimated,
2008,presidential,17321622,13221609,13103963,117646,7659014,5444949,0,0,0,0,0,0,0,4100013,official_candidate_estimated_turnout,
2009,county_councilor,17200000,10350000,10195000,155000,4550000,2600000,0,260000,0,0,160000,0,2625000,6850000,estimated,
2009,local_executive,17200000,10600000,10430000,170000,6800000,3200000,0,0,0,0,0,0,430000,6600000,estimated,
2012,legislative,18086455,12080000,11925000,155000,4871651,4556424,0,210000,95000,0,420000,0,1771925,6006455,estimated,
2012,presidential,18086455,13452016,13354305,97711,6891139,6093578,0,369588,0,0,0,0,0,4634439,official_candidate_estimated_turnout,
2014,county_councilor,18500000,11900000,11730000,170000,4000000,3450000,0,0,0,0,0,60000,4220000,6600000,estimated,
2014,local_executive,18500000,12100000,11910000,190000,3500000,5500000,0,0,120000,0,0,0,2790000,6400000,estimated,
2016,legislative,18782991,12030000,11860000,170000,3280000,5370000,0,0,0,350000,120000,75000,2665000,6752991,estimated,
2016,presidential,18782991,12448302,12284970,163332,3813365,6894744,0,1576861,0,0,0,0,0,6334689,official_candidate_estimated_turnout,
2018,county_councilor,19100000,12250000,12070000,180000,4400000,3200000,180000,0,0,280000,0,120000,3890000,6850000,estimated,
2018,local_executive,19100000,12400000,12210000,190000,5800000,3800000,580000,0,0,0,0,0,2030000,6700000,estimated,
2020,legislative,19312105,14100000,13930000,170000,4720000,6570000,190000,0,0,230000,0,140000,2080000,5212105,estimated,
2020,presidential,19311105,14464571,14300940,163631,5522119,8170231,0,608590,0,0,0,0,0,4846534,official_candidate_estimated_turnout,
2022,county_councilor,19300000,11600000,11425000,175000,4200000,3000000,620000,0,0,190000,0,150000,3265000,7700000,estimated,
2022,local_executive,19300000,11550000,11370000,180000,5200000,3800000,400000,0,0,0,0,0,1970000,7750000,estimated,
2024,legislative,19548531,13850000,13685000,165000,5070000,4820000,500000,0,0,120000,0,90000,3085000,5698531,estimated,
2024,presidential,19548531,14047972,13947168,100804,4671021,5586019,3690128,0,0,0,0,0,0,5500559,official_candidate_estimated_turnout,
