year,composite,method,kmt_advantage,dpp_advantage,is_election_year
1996,0.7644,weighted,0.2644,-0.2644,True
1997,0.6631,weighted,0.1631,-0.1631,True
1998,0.6408,weighted,0.1408,-0.1408,True
1999,0.6408,weighted,0.1408,-0.1408,False
2000,0.5536,weighted,0.0536,-0.0536,True
2001,0.525,weighted,0.025,-0.025,True
2002,0.4902,weighted,-0.0098,0.0098,True
2003,0.4902,weighted,-0.0098,0.0098,False
2004,0.5302,weighted,0.0302,-0.0302,True
2005,0.5809,weighted,0.0809,-0.0809,True
2006,0.5866,weighted,0.0866,-0.0866,True
2007,0.5866,weighted,0.0866,-0.0866,False
2008,0.7059,weighted,0.2059,-0.2059,True
2009,0.7204,weighted,0.2204,-0.2204,True
2010,0.7101,weighted,0.2101,-0.2101,True
2011,0.7101,weighted,0.2101,-0.2101,False
2012,0.6312,weighted,0.1312,-0.1312,True
2013,0.6312,weighted,0.1312,-0.1312,False
2014,0.4872,weighted,-0.0128,0.0128,True
2015,0.4872,weighted,-0.0128,0.0128,False
2016,0.3994,weighted,-0.1006,0.1006,True
2017,0.3994,weighted,-0.1006,0.1006,False
2018,0.5071,weighted,0.0071,-0.0071,True
2019,0.5071,weighted,0.0071,-0.0071,False
2020,0.5248,weighted,0.0248,-0.0248,True
2021,0.5248,weighted,0.0248,-0.0248,False
2022,0.5407,weighted,0.0407,-0.0407,True
2023,0.5407,weighted,0.0407,-0.0407,False
2024,0.5685,weighted,0.0685,-0.0685,True
