year,composite_kmt_share,kmt_advantage,dpp_advantage,is_election_year,tiers
1996,0.7442,0.2442,-0.2442,True,總統直選
1997,0.6175,0.1175,-0.1175,True,縣市首長
1998,0.6073,0.1073,-0.1073,True,立法委員區域席次/縣市議長
2000,0.5027,0.0027,-0.0027,True,總統直選
2001,0.4694,-0.0306,0.0306,True,立法委員區域席次/縣市首長
2002,0.4479,-0.0521,0.0521,True,縣市議長
2004,0.496,-0.004,0.004,True,立法委員區域席次/總統直選
2005,0.5594,0.0594,-0.0594,True,縣市首長
2006,0.5701,0.0701,-0.0701,True,縣市議長
2008,0.7132,0.2132,-0.2132,True,立法委員區域席次/總統直選
2009,0.7314,0.2314,-0.2314,True,縣市首長
2010,0.7314,0.2314,-0.2314,True,縣市議長
2012,0.6367,0.1367,-0.1367,True,立法委員區域席次/總統直選
2014,0.4813,-0.0187,0.0187,True,縣市議長/縣市首長
2016,0.376,-0.124,0.124,True,立法委員區域席次/總統直選
2018,0.51,0.01,-0.01,True,縣市議長/縣市首長
2020,0.5312,0.0312,-0.0312,True,立法委員區域席次/總統直選
2022,0.5477,0.0477,-0.0477,True,縣市議長/縣市首長
2024,0.5811,0.0811,-0.0811,True,立法委員區域席次/總統直選
