year,composite,kmt_advantage,dpp_advantage,is_election_year
1996.0,0.7,0.2,-0.2,True
1997.0,0.6863915369552621,0.1864,-0.1864,True
1998.0,0.648996890462064,0.149,-0.149,True
1999.0,0.6121293305646128,0.1121,-0.1121,False
2000.0,0.5702673783474831,0.0703,-0.0703,True
2001.0,0.5322919497388796,0.0323,-0.0323,True
2002.0,0.5108044181300423,0.0108,-0.0108,True
2003.0,0.5126730920123598,0.0127,-0.0127,False
2004.0,0.5350939972518319,0.0351,-0.0351,True
2005.0,0.5638961816451005,0.0639,-0.0639,True
2006.0,0.591059813730714,0.0911,-0.0911,True
2007.0,0.6262580516963017,0.1263,-0.1263,False
2008.0,0.6696353533542192,0.1696,-0.1696,True
2009.0,0.6990530371181627,0.1991,-0.1991,True
2010.0,0.7,0.2,-0.2,True
2011.0,0.6820904932680534,0.1821,-0.1821,False
2012.0,0.6433211242330044,0.1433,-0.1433,True
2013.0,0.5895543744897465,0.0896,-0.0896,False
2014.0,0.5279881145258022,0.028,-0.028,True
2015.0,0.4739530989763822,-0.026,0.026,False
2016.0,0.4416759015901494,-0.0583,0.0583,True
2017.0,0.44450253608691026,-0.0555,0.0555,False
2018.0,0.47433191933967683,-0.0257,0.0257,True
2019.0,0.5027349824182633,0.0027,-0.0027,False
2020.0,0.5187884526165474,0.0188,-0.0188,True
2021.0,0.5286547192720665,0.0287,-0.0287,False
2022.0,0.5378152590250721,0.0378,-0.0378,True
2023.0,0.5479392291912062,0.0479,-0.0479,False
2024.0,0.5561972445002954,0.0562,-0.0562,True
