year,composite,pc1_score,method,kmt_advantage,dpp_advantage,is_election_year
1996,0.7,-3.2344,pca,0.2,-0.2,True
1997,0.6861,-2.78,pca,0.1861,-0.1861,True
1998,0.6442,-2.0911,pca,0.1442,-0.1442,True
1999,0.6442,-2.0911,pca,0.1442,-0.1442,False
2000,0.5428,-0.4255,pca,0.0428,-0.0428,True
2001,0.5093,0.125,pca,0.0093,-0.0093,True
2002,0.4524,1.059,pca,-0.0476,0.0476,True
2003,0.4524,1.059,pca,-0.0476,0.0476,False
2004,0.4961,0.3418,pca,-0.0039,0.0039,True
2005,0.5099,0.1143,pca,0.0099,-0.0099,True
2006,0.5205,-0.0599,pca,0.0205,-0.0205,True
2007,0.5205,-0.0599,pca,0.0205,-0.0205,False
2008,0.6228,-1.7402,pca,0.1228,-0.1228,True
2009,0.6268,-1.8054,pca,0.1268,-0.1268,True
2010,0.6112,-1.5498,pca,0.1112,-0.1112,True
2011,0.6112,-1.5498,pca,0.1112,-0.1112,False
2012,0.5438,-0.4429,pca,0.0438,-0.0438,True
2013,0.5438,-0.4429,pca,0.0438,-0.0438,False
2014,0.4394,1.2723,pca,-0.0606,0.0606,True
2015,0.4394,1.2723,pca,-0.0606,0.0606,False
2016,0.3538,2.6797,pca,-0.1462,0.1462,True
2017,0.3538,2.6797,pca,-0.1462,0.1462,False
2018,0.4244,1.5188,pca,-0.0756,0.0756,True
2019,0.4244,1.5188,pca,-0.0756,0.0756,False
2020,0.4428,1.2166,pca,-0.0572,0.0572,True
2021,0.4428,1.2166,pca,-0.0572,0.0572,False
2022,0.4633,0.8802,pca,-0.0367,0.0367,True
2023,0.4633,0.8802,pca,-0.0367,0.0367,False
2024,0.4902,0.4383,pca,-0.0098,0.0098,True
