year,weighted_eligible_voters,total_event_weight,included_events,nonvoters_share,invalid_share,other_share,tpp_share,pan_blue_share,pan_green_share
1996,5009650.8,0.35,presidential:1996,0.2980786804541346,0.06185944138062477,0.07497264080761877,0.0,0.40617494736359666,0.15891428999402513
1997,7182597.399392903,0.49431374533880007,presidential:1996;local_executive:1997,0.3307557617382755,0.04101426065072467,0.06708291233649248,0.0,0.34264088464299186,0.21850618063151558
1998,12770304.905360145,0.8656666564660346,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998,0.3278457272527591,0.024879497454727863,0.1260869458257875,0.0,0.33237181400389526,0.1888160154628302
1999,10738503.616614271,0.7279359882269573,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998,0.3278457272527592,0.024879497454727863,0.12608694582578753,0.0,0.3323718140038953,0.18881601546283025
2000,14441887.94639999,0.9621187630342185,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000,0.2698415008292043,0.018519628225253985,0.08117007216963132,0.0,0.3917744697373277,0.23869432903858273
2001,19112343.30362358,1.2590422188838122,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001,0.2968998705188399,0.015874809347112776,0.07257038202503803,0.0,0.35651100911801853,0.2581439289909908
2002,19251500.971115403,1.2587240885124804,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002,0.30759298021760867,0.014914785827307828,0.08593173943536758,0.0,0.3500852759151423,0.24147521860457372
2003,16188518.154864348,1.0584565738236442,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002,0.30759298021760867,0.014914785827307823,0.08593173943536757,0.0,0.3500852759151423,0.24147521860457366
2004,23530193.034695107,1.490052338630031,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004,0.2903778024385211,0.013531040464114246,0.06752079457067449,0.0,0.3463857031392264,0.2821846593874639
2005,25333305.623254813,1.579401233759707,local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.3079592557180135,0.010680962699240818,0.0734621766805471,0.0,0.34618388800788347,0.2617137168943151
2006,20678320.29679586,1.286068014953146,county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.30587147325915726,0.010657808305499636,0.07399268659490996,0.0,0.3490118367099825,0.26046619513045066
2007,15973415.338801093,0.9868491368305182,presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.30415633120175706,0.010680605750180015,0.06468803606104963,0.0,0.351302075617738,0.2691729513692752
2008,23816693.147756536,1.429837901557005,presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008,0.30640552630977547,0.00932698186364006,0.0478094144934352,0.0,0.3640110847508837,0.27244699258226573
2009,25769656.122016337,1.5287671294784788,legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.33487466317068737,0.009421852942753318,0.0605912208719127,0.0,0.35133151369008375,0.24378074932456287
2010,20204725.43755455,1.1909339522201217,county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.33420892863635193,0.009288188591788633,0.06080932878995179,0.0,0.355411740606353,0.2402818133755547
2011,16321568.54149846,0.9594072704631531,legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.3330855793234393,0.009256457588096205,0.057014500066126794,0.0,0.3569600537897998,0.24368340923253784
2012,24576621.477863852,1.4067621345008163,legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012,0.31310988797824874,0.008137465207443864,0.049864092349004976,0.0,0.35540296548803535,0.2734855889772671
2013,18581531.897673927,1.056806773728343,county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012,0.31831176376382175,0.007745413697993796,0.050718478420810745,0.0,0.3569844820880268,0.26623986202934696
2014,21637664.477507934,1.2045753861186357,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014,0.32699628408673664,0.008260039437710425,0.09555135444731187,0.0,0.3054474058327609,0.26374491619547996
2015,18195034.493599057,1.0129231240900198,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014,0.3269962840867367,0.008260039437710427,0.09555135444731191,0.0,0.3054474058327609,0.26374491619548
2016,26569933.881085135,1.4517634239748913,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016,0.3352841460123545,0.008507584357413304,0.08009801759631961,0.0,0.2777563160419116,0.2983539359920009
2017,20159446.757540025,1.0946481967288872,county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016,0.33809643772532466,0.008608451499696551,0.08595881214876931,0.0,0.266635430838571,0.3007008677876384
2018,23145664.67767714,1.2363961030678927,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018,0.3402758263543098,0.008911645528650912,0.10856147148349932,0.00656710455788278,0.2623327208521931,0.273351231223464
2019,19463106.456123225,1.0396810509034533,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018,0.3402758263543098,0.008911645528650912,0.10856147148349934,0.0065671045578827815,0.26233272085219317,0.27335123122346405
2020,27953369.44865545,1.4742640687119288,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020,0.30652557496857313,0.008786880196381287,0.08216421277067606,0.00554424149206849,0.2725684005600688,0.3244106900122324
2021,21224562.887514926,1.1135689082291593,county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020,0.30853336011841576,0.009008798796060064,0.08660802438643847,0.006140165107542387,0.2638765861312657,0.32583306546027757
2022,25567658.84743833,1.3363961030678926,county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020;county_councilor:2022;local_executive:2022,0.3362293828208142,0.009065592157668993,0.1014074260052772,0.01226500924380802,0.25773103929528257,0.28330155047714906
2023,19944094.30302144,1.0396810509034533,legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020;county_councilor:2022;local_executive:2022,0.3350498548597518,0.009013788793929951,0.09453928345638347,0.013221691656983703,0.2617703259429451,0.28640505529000604
2024,28500036.00489276,1.4742640687119288,legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020;county_councilor:2022;local_executive:2022;legislative:2024;presidential:2024,0.31469861444506453,0.007989495428323546,0.08269324691239527,0.057483601018994496,0.25587637377682776,0.2812586684183944
