year,weighted_eligible_voters,total_event_weight,included_events,nonvoters_share,invalid_share,other_share,tsp_share,tsu_share,npp_share,np_share,pfp_share,tpp_share,kmt_share,dpp_share
1996,5009650.8,0.35,presidential:1996,0.2980786804541346,0.06185944138062477,0.07497264080761877,0.0,0.0,0.0,0.0,0.0,0.0,0.40617494736359666,0.15891428999402513
1997,7182597.399392903,0.49431374533880007,presidential:1996;local_executive:1997,0.3307557617382755,0.04101426065072467,0.06708291233649248,0.0,0.0,0.0,0.00696127002805784,0.0,0.0,0.335679614614934,0.21850618063151558
1998,12770304.905360145,0.8656666564660346,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998,0.3278457272527591,0.024879497454727863,0.1260869458257875,0.0,0.0,0.0,0.0148426229575088,0.0,0.0,0.31752919104638644,0.1888160154628302
1999,10738503.616614271,0.7279359882269573,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998,0.3278457272527592,0.024879497454727863,0.12608694582578753,0.0,0.0,0.0,0.0148426229575088,0.0,0.0,0.3175291910463865,0.18881601546283025
2000,14441887.94639999,0.9621187630342185,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000,0.2698415008292043,0.018519628225253985,0.08117007216963132,0.0,0.0,0.0,0.009280533722288974,0.11305490016677484,0.0,0.2694390358482639,0.23869432903858273
2001,19112343.30362358,1.2590422188838122,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001,0.2968998705188399,0.015874809347112776,0.07257038202503803,0.0,0.009156386384437805,0.0,0.005896923414413695,0.09961905656591266,0.0,0.25099502913769217,0.248987542606553
2002,19251500.971115403,1.2587240885124804,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002,0.30759298021760867,0.014914785827307828,0.08593173943536758,0.0,0.010241116937594143,0.0,0.004922858250041784,0.09095538924304528,0.0,0.2542070284220553,0.23123410166697958
2003,16188518.154864348,1.0584565738236442,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002,0.30759298021760867,0.014914785827307823,0.08593173943536757,0.0,0.010241116937594143,0.0,0.004922858250041782,0.09095538924304526,0.0,0.2542070284220553,0.23123410166697952
2004,23530193.034695107,1.490052338630031,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004,0.2903778024385211,0.013531040464114246,0.06752079457067449,0.0,0.014955719279615563,0.0,0.0041229671982288925,0.0653697827273747,0.0,0.2768929532136228,0.2672289401078483
2005,25333305.623254813,1.579401233759707,local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.3079592557180135,0.010680962699240818,0.0734621766805471,0.0,0.013417935707705305,0.0,0.003220223449578214,0.05595149261672296,0.0,0.2870121719415823,0.2482957811866098
2006,20678320.29679586,1.286068014953146,county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.30587147325915726,0.010657808305499636,0.07399268659490996,0.0,0.013823079704026827,0.0,0.0028091354907872905,0.05764090385051474,0.0,0.28856179736868043,0.2466431154264238
2007,15973415.338801093,0.9868491368305182,presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.30415633120175706,0.010680605750180015,0.06468803606104963,0.0,0.01504751507290698,0.0,0.0011167371752808675,0.06274668077432358,0.0,0.2874386576681336,0.25412543629636825
2008,23816693.147756536,1.429837901557005,presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008,0.30640552630977547,0.00932698186364006,0.0478094144934352,0.0,0.011215580420166531,0.0,0.0006298103564143604,0.03612225420626079,0.0,0.3272590201882085,0.2612314121620992
2009,25769656.122016337,1.5287671294784788,legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.33487466317068737,0.009421852942753318,0.0605912208719127,0.0,0.009958169361464245,0.0,0.0004894689385485981,0.016771485592248652,0.0,0.3340705591592865,0.23382257996309863
2010,20204725.43755455,1.1909339522201217,county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.33420892863635193,0.009288188591788633,0.06080932878995179,0.0,0.008859335567569184,0.0,0.0005249564885491445,0.012462558720033108,0.0,0.34242422539777073,0.23142247780798553
2011,16321568.54149846,0.9594072704631531,legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009,0.3330855793234393,0.009256457588096205,0.057014500066126794,0.0,0.008578196700286471,0.0,0.0005464581017347223,0.011040989625388041,0.0,0.345372606062677,0.23510521253225136
2012,24576621.477863852,1.4067621345008163,legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012,0.31310988797824874,0.008137465207443864,0.049864092349004976,0.0,0.009062823883489824,0.0,0.001271533600667889,0.013565355427532616,0.0,0.34056607645983483,0.26442276509377727
2013,18581531.897673927,1.056806773728343,county_councilor:2005;local_executive:2005;legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012,0.31831176376382175,0.007745413697993796,0.050718478420810745,0.0,0.007675538157068718,0.0,0.0010747924321985404,0.011693316522184371,0.0,0.3442163731336439,0.25856432387227823
2014,21637664.477507934,1.2045753861186357,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014,0.32699628408673664,0.008260039437710425,0.09555135444731187,0.0005545885052646897,0.0051152251284911875,0.0,0.0018853137359434104,0.007239319228418144,0.0,0.29632277286839936,0.25807510256172406
2015,18195034.493599057,1.0129231240900198,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014,0.3269962840867367,0.008260039437710427,0.09555135444731191,0.00055458850526469,0.0051152251284911875,0.0,0.0018853137359434106,0.007239319228418144,0.0,0.29632277286839936,0.2580751025617241
2016,26569933.881085135,1.4517634239748913,legislative:2008;presidential:2008;county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016,0.3352841460123545,0.008507584357413304,0.08009801759631961,0.001025041368041457,0.004074667908642918,0.0032931960008485517,0.0010856467644058385,0.024940368518070685,0.0,0.2517303007594351,0.28996103071446794
2017,20159446.757540025,1.0946481967288872,county_councilor:2009;local_executive:2009;legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016,0.33809643772532466,0.008608451499696551,0.08595881214876931,0.0011360455845574066,0.0038380990901693314,0.003649824185139419,0.0012032140863239835,0.02745873032146551,0.0,0.2379734864307815,0.2920768989277722
2018,23145664.67767714,1.2363961030678927,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018,0.3402758263543098,0.008911645528650912,0.10856147148349932,0.001868957005541009,0.002520398971482236,0.0050926099982561545,0.0008812403234313706,0.019638620370166022,0.00656710455788278,0.2418128601585957,0.2638692652481846
2019,19463106.456123225,1.0396810509034533,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018,0.3402758263543098,0.008911645528650912,0.10856147148349934,0.0018689570055410094,0.002520398971482236,0.005092609998256155,0.0008812403234313707,0.019638620370166022,0.0065671045578827815,0.24181286015859577,0.26386926524818466
2020,27953369.44865545,1.4742640687119288,legislative:2012;presidential:2012;county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020,0.30652557496857313,0.008786880196381287,0.08216421277067606,0.0023463433828994525,0.0014756718354031599,0.005038676285703418,0.0005159586002943307,0.019118307937138704,0.00554424149206849,0.25293413402263576,0.31554999850822635
2021,21224562.887514926,1.1135689082291593,county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020,0.30853336011841576,0.009008798796060064,0.08660802438643847,0.002598540447886791,0.000594285323832295,0.005580259150316105,0.0003361785459531673,0.019372004872333273,0.006140165107542387,0.24416840271297924,0.31705998053824236
2022,25567658.84743833,1.3363961030678926,county_councilor:2014;local_executive:2014;legislative:2016;presidential:2016;county_councilor:2018;local_executive:2018;legislative:2020;presidential:2020;county_councilor:2022;local_executive:2022,0.3362293828208142,0.009065592157668993,0.1014074260052772,0.002987284204271424,0.00041484446351101515,0.005381586261619091,0.00023467146662906724,0.013522745129515769,0.01226500924380802,0.24397362269913772,0.2745178355477475
