year,series_type,method,pan_green_share,tpp_share,other_share,invalid_share,nonvoters_share,pan_blue_share
1996,historical,"8-year rolling allocation, smoothed",0.1755903252044179,0.0,0.0770824569258025,0.0539434342878542,0.3082340835384322,0.3851497000434932
1997,historical,"8-year rolling allocation, smoothed",0.1905283559474433,0.0,0.0879778841479573,0.0424549284632471,0.3188902206511573,0.3601486107901947
1998,historical,"8-year rolling allocation, smoothed",0.1976846794135278,0.0,0.1042960483008922,0.0311364879006437,0.3218894550488123,0.3449933293361238
1999,historical,"8-year rolling allocation, smoothed",0.2078711785941608,0.0,0.1066481732996358,0.0240996888823769,0.3115177120195527,0.3498632472042737
2000,historical,"8-year rolling allocation, smoothed",0.2279519944074723,0.0,0.0932418627748165,0.0197871834098315,0.2977920410902182,0.3612269183176613
2001,historical,"8-year rolling allocation, smoothed",0.2430897321952574,0.0,0.0829082711458073,0.0169060756256143,0.296102211212591,0.3609937098207299
2002,historical,"8-year rolling allocation, smoothed",0.2478069449869283,0.0,0.0813740282018298,0.0153525789830099,0.3014003761866569,0.354066071641575
2003,historical,"8-year rolling allocation, smoothed",0.2539359721155406,0.0,0.0795828554927814,0.0143524819940361,0.302406405318663,0.3497222850789789
2004,historical,"8-year rolling allocation, smoothed",0.2628185372705179,0.0,0.0751081288205773,0.0130717142948202,0.3011743302306169,0.3478272893834676
2005,historical,"8-year rolling allocation, smoothed",0.2653441472524294,0.0,0.0722979551382985,0.0116804784711555,0.3029414852225706,0.3477359339155459
2006,historical,"8-year rolling allocation, smoothed",0.2648619291630985,0.0,0.0693515863943634,0.0108039435518976,0.3052068750639885,0.3497756658266518
2007,historical,"8-year rolling allocation, smoothed",0.2654222826383356,0.0,0.0631931519567689,0.0102771739433491,0.3076639959396201,0.3534433955219263
2008,historical,"8-year rolling allocation, smoothed",0.2613755961073332,0.0,0.0579642075854678,0.0097770019148444,0.3148339940152106,0.3560492003771437
2009,historical,"8-year rolling allocation, smoothed",0.2520035232907322,0.0,0.0576380455842025,0.0094423289992555,0.3251590422768215,0.3557570598489881
2010,historical,"8-year rolling allocation, smoothed",0.2469812551928148,0.0,0.058152220520199,0.0092342622492913,0.3302811549031811,0.3553511071345136
2011,historical,"8-year rolling allocation, smoothed",0.2520425809774393,0.0,0.056301164310662,0.0088942058047502,0.3273553169340077,0.3554067319731406
2012,historical,"8-year rolling allocation, smoothed",0.2612790363083548,0.0,0.0562279302353395,0.008413445493193,0.3219015174180496,0.3521780705450628
2013,historical,"8-year rolling allocation, smoothed",0.265699812187224,0.0,0.0651900899554775,0.0081251485796677,0.3210834656499146,0.3399014836277159
2014,historical,"8-year rolling allocation, smoothed",0.2675655647854743,3.2028250883166544e-06,0.0801146455234818,0.0081579007085928,0.324685086644355,0.3194735995130077
2015,historical,"8-year rolling allocation, smoothed",0.2749533919067241,6.098008342669838e-05,0.0877638788079529,0.0083133447915524,0.3291565896533588,0.2997518147569849
2016,historical,"8-year rolling allocation, smoothed",0.285971507168982,0.0005165807068638,0.0882400311281704,0.0084800688150295,0.3336112716660982,0.2831805405148559
2017,historical,"8-year rolling allocation, smoothed",0.2889888044628516,0.002083454782674,0.0922456931715608,0.0086521321967749,0.3369255390671595,0.2711043763189789
2018,historical,"8-year rolling allocation, smoothed",0.2855730338467183,0.0044024250979043,0.0990109946749445,0.0087970541749526,0.3366576835628445,0.2655588086426356
2019,historical,"8-year rolling allocation, smoothed",0.2914551027673902,0.005828342929768,0.0988071667717376,0.0088649333238546,0.3297339634195307,0.2653104907877187
2020,historical,"8-year rolling allocation, smoothed",0.305523707846107,0.0065118284121971,0.0928749550348659,0.0088979805380987,0.3200584066529216,0.2661331215158095
2021,historical,"8-year rolling allocation, smoothed",0.308016398175412,0.0084656658867012,0.0913245768671845,0.0089522660030862,0.3190936392100621,0.2641474538575538
2022,historical,"8-year rolling allocation, smoothed",0.2968521943399969,0.0140657947702601,0.0934653734151118,0.0089340214193783,0.325580843132832,0.2611017729224207
2023,historical,"8-year rolling allocation, smoothed",0.2870868885378788,0.0265339684283546,0.0917593739156092,0.0086974252148598,0.3267577221056794,0.259164621797618
2024,historical,"8-year rolling allocation, smoothed",0.2830484845575785,0.0432466867246944,0.0868692770835849,0.0083193382610597,0.3210184230100163,0.2574977903630661
2025,forecast,"linear trend from 2016-2024, renormalized",0.2943119394814955,0.034592418691326884,0.0906067319205512,0.008720654216882052,0.31824287265482704,0.25352538303491723
2026,forecast,"linear trend from 2016-2024, renormalized",0.29467396911772953,0.03902968581316021,0.0901814684810445,0.008718224616989696,0.3163483918118561,0.2510482601592201
2027,forecast,"linear trend from 2016-2024, renormalized",0.29503599875396364,0.04346695293499351,0.08975620504153765,0.008715795017097338,0.314453910968885,0.24857113728352287
2028,forecast,"linear trend from 2016-2024, renormalized",0.29539802839019846,0.04790422005682517,0.08933094160203106,0.008713365417205006,0.3125594301259148,0.2460940144078255
2029,forecast,"linear trend from 2016-2024, renormalized",0.29576005802643257,0.052341487178658476,0.08890567816252433,0.008710935817312648,0.31066494928294375,0.2436168915321283
2030,forecast,"linear trend from 2016-2024, renormalized",0.29612208766266657,0.05677875430049178,0.0884804147230175,0.008708506217420291,0.3087704684399727,0.2411397686564311
2031,forecast,"linear trend from 2016-2024, renormalized",0.29648411729890123,0.06121602142232341,0.08805515128351094,0.00870607661752795,0.3068759875970022,0.23866264578073437
2032,forecast,"linear trend from 2016-2024, renormalized",0.2968461469351355,0.06565328854415677,0.08762988784400418,0.008703647017635601,0.3049815067540314,0.23618552290503653
