year,weighted_eligible_voters,total_event_weight,included_events,nonvoters_share,invalid_share,other_share,tpp_share,pan_blue_share,pan_green_share
1996,5009650.8,0.35,presidential:1996,0.3082340835384322,0.053943434287854274,0.07708245692580257,0.0,0.3851497000434932,0.1755903252044179
1997,7182597.399392903,0.49431374533880007,presidential:1996;local_executive:1997,0.3188902206511573,0.042454928463247193,0.08797788414795735,0.0,0.3601486107901947,0.19052835594744338
1998,12770304.905360145,0.8656666564660346,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998,0.32188945504881233,0.0311364879006437,0.10429604830089227,0.0,0.34499332933612387,0.1976846794135278
1999,10738503.616614271,0.7279359882269573,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998,0.3115177120195527,0.024099688882376947,0.10664817329963584,0.0,0.3498632472042737,0.20787117859416082
2000,14441887.94639999,0.9621187630342185,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000,0.29779204109021823,0.019787183409831596,0.0932418627748165,0.0,0.3612269183176613,0.22795199440747238
2001,19112343.30362358,1.2590422188838122,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001,0.296102211212591,0.01690607562561434,0.08290827114580734,0.0,0.3609937098207299,0.24308973219525742
2002,19251500.971115403,1.2587240885124804,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002,0.30140037618665694,0.015352578983009952,0.08137402820182986,0.0,0.35406607164157505,0.2478069449869283
2003,16188518.154864348,1.0584565738236442,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002,0.302406405318663,0.014352481994036177,0.0795828554927814,0.0,0.3497222850789789,0.2539359721155406
2004,23530193.034695107,1.490052338630031,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004,0.30117433023061696,0.013071714294820227,0.0751081288205773,0.0,0.3478272893834676,0.26281853727051796
2005,25333305.623254813,1.579401233759707,local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.30294148522257064,0.011680478471155513,0.07229795513829852,0.0,0.3477359339155459,0.2653441472524294
