year,weighted_eligible_voters,total_event_weight,included_events,nonvoters_share,invalid_share,other_share,tsp_share,tsu_share,npp_share,np_share,pfp_share,tpp_share,kmt_share,dpp_share
1996,5009650.8,0.35,presidential:1996,0.3082340835384322,0.053943434287854274,0.07708245692580257,0.0,0.0,0.0,0.002836114176044822,5.513770451189829e-05,0.0,0.38225844816293647,0.1755903252044179
1997,7182597.399392903,0.49431374533880007,presidential:1996;local_executive:1997,0.3188902206511573,0.042454928463247193,0.08797788414795735,0.0,4.46563683765272e-06,0.0,0.007201164011170749,0.0010432397606302485,0.0,0.35190420701839376,0.19052389031060574
1998,12770304.905360145,0.8656666564660346,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998,0.32188945504881233,0.0311364879006437,0.10429604830089227,0.0,8.555237744241861e-05,0.0,0.01131320837488823,0.008772711166924975,0.0,0.32490740979431065,0.19759912703608537
1999,10738503.616614271,0.7279359882269573,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998,0.3115177120195527,0.024099688882376947,0.10664817329963584,0.0,0.0007310264673100243,0.0,0.012109553450716053,0.034887520863533424,0.0,0.3028661728900242,0.20714015212685077
2000,14441887.94639999,0.9621187630342185,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000,0.29779204109021823,0.019787183409831596,0.0932418627748165,0.0,0.0030054668601513564,0.0,0.009821059297446783,0.07205294277358161,0.0,0.2793529162466329,0.22494652754732103
2001,19112343.30362358,1.2590422188838122,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001,0.296102211212591,0.01690607562561434,0.08290827114580734,0.0,0.006627314892650142,0.0,0.007090980116878672,0.09199587909296993,0.0,0.26190685061088126,0.23646241730260728
2002,19251500.971115403,1.2587240885124804,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002,0.30140037618665694,0.015352578983009952,0.08137402820182986,0.0,0.009531640358245918,0.0,0.005479753349659122,0.09162306857031631,0.0,0.2569632497215996,0.23827530462868238
2003,16188518.154864348,1.0584565738236442,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002,0.302406405318663,0.014352481994036177,0.0795828554927814,0.0,0.011456308720340749,0.0,0.004703071241659134,0.08283070775969074,0.0,0.262188506077629,0.24247966339519986
2004,23530193.034695107,1.490052338630031,presidential:1996;local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004,0.3011743302306169,0.013071714294820224,0.07510812882057728,0.0,0.012990207757660662,0.0,0.004052566678845505,0.07077607886428038,0.0,0.2729986438403416,0.24982832951285724
2005,25333305.623254813,1.579401233759707,local_executive:1997;county_councilor:1998;legislative:1998;presidential:2000;legislative:2001;local_executive:2001;county_councilor:2002;legislative:2004;presidential:2004;county_councilor:2005;local_executive:2005,0.30294148522257064,0.011680478471155513,0.07229795513829852,0.0,0.013725533028351469,0.0,0.003302504706915725,0.06165518808607161,0.0,0.28277824112255856,0.25161861422407794
